Dataset,Model,ML Accuracy,FOLD-SE Accuracy,Hybrid Accuracy,ML Precision,FOLD-SE Precision,Hybrid Precision,ML Recall,FOLD-SE Recall,Hybrid Recall,ML F1 Score,FOLD-SE F1 Score,Hybrid F1 Score,ML Accuracy Std,FOLD-SE Accuracy Std,Hybrid Accuracy Std,ML Precision Std,FOLD-SE Precision Std,Hybrid Precision Std,ML Recall Std,FOLD-SE Recall Std,Hybrid Recall Std,ML F1 Score Std,FOLD-SE F1 Score Std,Hybrid F1 Score Std
breastw,FOLD-SE Pure,,0.9278571428571428,,,0.8509713854515255,,,0.9583333333333334,,,0.9011150075405633,,,0.020605901450875066,,,0.032729568074469216,,,0.03540985773328322,,,0.028511860500348027,
breastw,KNN,0.9357142857142857,,0.9407142857142856,0.9088677486815785,,0.9072798167172664,0.9041666666666666,,0.9229166666666666,0.9061914319208159,,0.9143396668004652,0.011664236870396076,,0.015448693521436503,0.028884989281343688,,0.033072137878810866,0.017568209223157646,,0.03547788826234667,0.01593640897983807,,0.021853202781924333
breastw,Neural Network,0.9192857142857143,,0.9307142857142857,0.8740930642351689,,0.8779602962297849,0.8958333333333334,,0.9291666666666666,0.8841477200591188,,0.9019317830901805,0.014305541795999783,,0.011193008831945862,0.038017061824856535,,0.031758289771811526,0.021960261528947016,,0.03568120160740316,0.017996020242500597,,0.015030595700654247
breastw,Random Forest,0.957857142857143,,0.957857142857143,0.9188011494684962,,0.9140415313635512,0.9645833333333333,,0.9708333333333334,0.9403696625105313,,0.940903004202197,0.014463183379511847,,0.01731723480568398,0.039675567705224256,,0.043701841319887254,0.026076365771553593,,0.02012691214748532,0.019359548006766106,,0.02297613538816516
breastw,SVM,0.9514285714285714,,0.9514285714285714,0.8952505389190024,,0.8953663028360983,0.9729166666666667,,0.9729166666666667,0.9322627344701278,,0.9322774985964546,0.012953781436890896,,0.012508500511013033,0.02627902908197738,,0.02691830596111297,0.01715151254892842,,0.01715151254892842,0.01752427148812625,,0.01671402027998133
ecoli,FOLD-SE Pure,,0.9367647058823529,,,0.9243520272830619,,,0.9310344827586207,,,0.9265471077007114,,,0.0392463115710747,,,0.05842016447454254,,,0.051403861551719325,,,0.04502434782136397,
ecoli,KNN,0.6823529411764706,,0.9014705882352942,0.6481413264674134,,0.907127868300282,0.5620689655172414,,0.8551724137931034,0.6015475179129598,,0.8798065053535847,0.05008643048801885,,0.056340570639978875,0.07232093817556737,,0.05889079458392133,0.05872202195147032,,0.08570736497612527,0.06230903929245726,,0.07101396981124643
ecoli,Neural Network,0.8882352941176471,,0.9352941176470588,0.8855170942434569,,0.9262893338277098,0.8551724137931034,,0.9275862068965518,0.8647191005274115,,0.9247577452140805,0.04340381102191894,,0.03872238756496374,0.06430277383649155,,0.0679794760368171,0.10880146727539529,,0.05961518381558594,0.05784976668283567,,0.0449547109142563
ecoli,Random Forest,0.9558823529411764,,0.9529411764705882,0.9507478573058383,,0.9458055180359131,0.9482758620689655,,0.9448275862068967,0.9483631529853787,,0.9444302046812576,0.03251592931720981,,0.03588824552494733,0.05272884729979385,,0.043856659823705686,0.049438650960015124,,0.05905854059156382,0.03846349630399676,,0.04386019869884457
ecoli,SVM,0.5911764705882353,,0.9367647058823529,0.5379150571538511,,0.9243520272830619,0.29310344827586204,,0.9310344827586207,0.37540885220788656,,0.9265471077007114,0.02924790958858095,,0.0392463115710747,0.056361890726984366,,0.05842016447454254,0.0749333609793408,,0.051403861551719325,0.06998357982314186,,0.04502434782136397
