Dataset,Model,ML Accuracy,FOLD-SE Accuracy,Hybrid Accuracy,ML Precision,FOLD-SE Precision,Hybrid Precision,ML Recall,FOLD-SE Recall,Hybrid Recall,ML F1 Score,FOLD-SE F1 Score,Hybrid F1 Score,ML Accuracy Std,FOLD-SE Accuracy Std,Hybrid Accuracy Std,ML Precision Std,FOLD-SE Precision Std,Hybrid Precision Std,ML Recall Std,FOLD-SE Recall Std,Hybrid Recall Std,ML F1 Score Std,FOLD-SE F1 Score Std,Hybrid F1 Score Std
breastw,FOLD-SE Pure,,0.9457142857142857,,,0.8934673033474662,,,0.9578202159795819,,,0.9237327621499289,,,0.019977311393717175,,,0.04959046761515346,,,0.021303505023334945,,,0.029267975752826927,
breastw,KNN,0.9442857142857143,,0.9442857142857143,0.9255583690203751,,0.9255583690203751,0.9108822935446014,,0.9108822935446014,0.9173055614459823,,0.9173055614459823,0.017103128567683805,,0.017103128567683805,0.0517878345157503,,0.0517878345157503,0.0296622293380053,,0.0296622293380053,0.030588275715112887,,0.030588275715112887
breastw,Neural Network,0.9357142857142857,,0.9442857142857143,0.9092963450339028,,0.9146339856360696,0.9070239704358698,,0.9270635894108434,0.9057470974773623,,0.918912340182995,0.023328473740792173,,0.022028635249943584,0.05789820256966834,,0.05762201155403349,0.060095970426146325,,0.049353686444142036,0.03555280123421044,,0.03367053513785355
breastw,Random Forest,0.9635714285714286,,0.9564285714285715,0.9388592542965155,,0.9221630568810368,0.9592888822339622,,0.9562430672828679,0.9478070973476299,,0.9377810390934895,0.025962208711493295,,0.022195278450326515,0.0545946197299442,,0.05549945959596857,0.043223615266679644,,0.031189203884601162,0.03688628506415458,,0.03235486695043819
breastw,SVM,0.9521428571428572,,0.9550000000000001,0.9103697775073247,,0.9144558057620484,0.9548705472907827,,0.9596760392816293,0.931122338687912,,0.935421743319683,0.018458140422204092,,0.017185792792970094,0.04926241174186589,,0.04921688093634759,0.031673193460074744,,0.0318582420414683,0.02878170106185597,,0.02644118468522864
ecoli,FOLD-SE Pure,,0.9573529411764706,,,0.948128908128908,,,0.9548074269410476,,,0.950534605834459,,,0.028958932328905753,,,0.043929048797877,,,0.04384355192558328,,,0.03154027504738974,
ecoli,KNN,0.6573529411764706,,0.6573529411764706,0.6119985764289376,,0.6119985764289376,0.5461077273436719,,0.5461077273436719,0.5745752778101944,,0.5745752778101944,0.04045231575642698,,0.04045231575642698,0.07379381020777545,,0.07379381020777545,0.06060840832659248,,0.06060840832659248,0.052396837020584876,,0.052396837020584876
ecoli,Neural Network,0.925,,0.9514705882352942,0.9088089688089689,,0.9381302422381882,0.9164811965093074,,0.9483744049692326,0.9114248330080181,,0.9422929342366881,0.035653130482290546,,0.025985016236663838,0.059885131959322525,,0.033175972936023174,0.05294030363452625,,0.052498588166523155,0.04514006514180246,,0.031433638893076904
ecoli,Random Forest,0.9632352941176471,,0.9617647058823529,0.9635107884654165,,0.9622283523642219,0.9526413992362268,,0.9513591510789787,0.9576651681987436,,0.9562489009489502,0.0261693094412532,,0.028750741761990575,0.025838379412162073,,0.0279411412742481,0.04246940753335654,,0.04715221377957989,0.029696030656072656,,0.031515994146925574
ecoli,SVM,0.5705882352941176,,0.8882352941176471,0.34541666666666665,,0.925319662793347,0.18416423306228405,,0.8088171419852455,0.23374588795667467,,0.8486401910510717,0.06960093862470135,,0.11890665570947137,0.24375120282719512,,0.07294192286388786,0.15079252600443807,,0.22542687090499697,0.18446541636489105,,0.16641446320391298
